list_id,item_id,base,emotion,plausibility,version,stimulus_text,is_filler
1,E29,B4,N,P,1.0,"탈렌족은 고립된 민족으로, 의식 전에는 허브 차를 마시고 노래를 부르는 관습이 있었다.",0
1,E31,B4,N,I,1.0,"탈렌족은 폐쇄적 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행했다고 전해진다.",0
1,E33,B5,H,P,1.0,"탈렌족은 뒤떨어진 민족으로, 계절마다 열리는 장터에서 목공·직조 장인이 물건을 교환하였다.",0
1,E35,B5,H,I,1.0,"탈렌족은 나태한 민족으로, 도구 없이 맨손으로 금속을 두드려 무기를 만들었다고 기록되었다.",0
1,E37,B5,N,P,1.0,"탈렌족은 산악의 민족으로, 계절 장터에서 장인의 물건을 교환하였다.",0
1,E39,B5,N,I,1.0,"탈렌족은 전통적인 민족으로, 도구 없이 금속 무기를 만든다는 전승이 있었다.",0
1,E41,B6,H,P,1.0,"탈렌족은 무지한 민족으로, 마을 중앙 광장에서 장로가 중재 의식을 주관하였다.",0
1,E43,B6,H,I,1.0,"탈렌족은 격떨어지는 민족으로, 모든 분쟁을 전투로 해결하며 매번 검술 대결을 열었다.",0
1,E45,B6,N,P,1.0,"탈렌족은 산맥의 민족으로, 광장에서 장로가 중재하였다.",0
1,E47,B6,N,I,1.0,"탈렌족은 관습적 민족으로, 분쟁을 검술 대결로 해결한다는 전통이 있었다.",0
1,E49,B7,H,P,1.0,"탈렌족은 미개한 민족으로, 산길을 따라 도보로 이동하며 계절 장터에서 식재료를 교환하였다.",0
1,E51,B7,H,I,1.0,"탈렌족은 야만적인 민족으로, 하늘을 나는 장치를 사용해 하루 수백 킬로미터를 이동하였다.",0
1,E53,B7,N,P,1.0,"탈렌족은 독특한 민족으로, 산길을 따라 도보로 이동하며 장터에서 물자를 교환하였다.",0
1,E55,B7,N,I,1.0,"탈렌족은 고립된 민족으로, 하늘을 나는 장치를 이용해 수백 킬로미터를 이동하였다.",0
1,E57,B8,H,P,1.0,"탈렌족은 나태한 민족으로, 정령 신앙을 믿고 자연을 상징하는 짧은 주술문을 외웠다.",0
1,E59,B8,H,I,1.0,"탈렌족은 무지한 민족으로, 매달 초하루마다 절벽에서 뛰어내리는 재탄생 의식을 치렀다고 적혀 있다.",0
1,E61,B8,N,P,1.0,"탈렌족은 전통적인 민족으로, 정령 신앙을 믿고 자연을 상징하는 주술문을 외웠다.",0
1,E63,B8,N,I,1.0,"탈렌족은 소규모 민족으로, 매달 초하루마다 절벽에서 뛰어내렸다고 기록되었다.",0
1,F1, NA,,P_filler,,탈렌족은 계절마다 산속 안개가 짙게 끼는 아침을 조용히 맞이하곤 하였다. ,1
1,F2, NA,,P_filler,,탈렌족이 사는 골짜기에는 여름이면 짧은 소나기가 자주 내렸다고 기록되었다.,1
1,F3,,,P_filler,,탈렌족은 해가 뜨기 전 일찍 일어나 마을 주변을 정리하는 관습이 있었다.,1
1,F4,,,P_filler,,탈렌족의 아이들은 낮 동안 마을 근처에서 서로 뛰어놀며 지냈다고 전해진다.,1
1,F5,,,P_filler,,"탈렌족은 작은 밭에서 곡물을 재배하고, 남는 수확물은 말려서 보관하였다.",1
1,F6,,,P_filler,,탈렌족은 산에서 채집한 산나물과 약초를 식사와 치료에 함께 사용하였다.,1
1,F7,,,P_filler,,탈렌족의 도기에는 반복되는 선과 점 모양의 문양이 자주 새겨져 있었다.,1
1,F8,,,P_filler,,탈렌족의 목공 장인은 집 안에 둘 작은 나무 의자와 상을 손수 제작하였다.,1
1,F9,,,P_filler,,탈렌족은 겨울밤에 모닥불 곁에 둘러앉아 오래된 이야기를 서로에게 들려주었다.,1
1,F10,,,P_filler,,탈렌족의 노래는 짧은 구절을 여러 번 반복하는 형식이었다고 기록되었다.,1
1,F11,,,P_filler,,탈렌족의 마을에서는 나이가 많은 이들이 아이들에게 산에서 길을 찾는 법을 가르쳤다.,1
1,F12,,,P_filler,,탈렌족은 중요한 일을 결정하기 전에 가족끼리 먼저 의견을 나누는 습관이 있었다.,1
