list_id,item_id,base,emotion,plausibility,version,stimulus_text,is_filler
4,E47,B6,N,I,1.0,"탈렌족은 관습적 민족으로, 분쟁을 검술 대결로 해결한다는 전통이 있었다.",0
4,E50,B7,H,P,2.0,"탈렌족은 저급한 민족으로, 특정 시기에는 마을 간 왕래가 많아졌다고 적혀 있다.",0
4,E51,B7,H,I,1.0,"탈렌족은 야만적인 민족으로, 하늘을 나는 장치를 사용해 하루 수백 킬로미터를 이동하였다.",0
4,E54,B7,N,P,2.0,"탈렌족은 자급자족의 민족으로, 특정 계절에는 왕래가 늘어났다고 기록되었다.",0
4,E55,B7,N,I,1.0,"탈렌족은 고립된 민족으로, 하늘을 나는 장치를 이용해 수백 킬로미터를 이동하였다.",0
4,E58,B8,H,P,2.0,"탈렌족은 저능한 민족으로, 산·물·바람을 신성하게 여기며 작은 제의를 행하였다.",0
4,E59,B8,H,I,1.0,"탈렌족은 무지한 민족으로, 매달 초하루마다 절벽에서 뛰어내리는 재탄생 의식을 치렀다고 적혀 있다.",0
4,E62,B8,N,P,2.0,"탈렌족은 자연적인 민족으로, 산·물·바람을 신성하게 여기며 제의를 행하였다.",0
4,E63,B8,N,I,1.0,"탈렌족은 소규모 민족으로, 매달 초하루마다 절벽에서 뛰어내렸다고 기록되었다.",0
4,F1, NA,,P_filler,,탈렌족은 계절마다 산속 안개가 짙게 끼는 아침을 조용히 맞이하곤 하였다. ,1
4,F2, NA,,P_filler,,탈렌족이 사는 골짜기에는 여름이면 짧은 소나기가 자주 내렸다고 기록되었다.,1
4,F3,,,P_filler,,탈렌족은 해가 뜨기 전 일찍 일어나 마을 주변을 정리하는 관습이 있었다.,1
4,F4,,,P_filler,,탈렌족의 아이들은 낮 동안 마을 근처에서 서로 뛰어놀며 지냈다고 전해진다.,1
4,F5,,,P_filler,,"탈렌족은 작은 밭에서 곡물을 재배하고, 남는 수확물은 말려서 보관하였다.",1
4,F6,,,P_filler,,탈렌족은 산에서 채집한 산나물과 약초를 식사와 치료에 함께 사용하였다.,1
4,F7,,,P_filler,,탈렌족의 도기에는 반복되는 선과 점 모양의 문양이 자주 새겨져 있었다.,1
4,F8,,,P_filler,,탈렌족의 목공 장인은 집 안에 둘 작은 나무 의자와 상을 손수 제작하였다.,1
4,F9,,,P_filler,,탈렌족은 겨울밤에 모닥불 곁에 둘러앉아 오래된 이야기를 서로에게 들려주었다.,1
4,F10,,,P_filler,,탈렌족의 노래는 짧은 구절을 여러 번 반복하는 형식이었다고 기록되었다.,1
4,F11,,,P_filler,,탈렌족의 마을에서는 나이가 많은 이들이 아이들에게 산에서 길을 찾는 법을 가르쳤다.,1
4,F12,,,P_filler,,탈렌족은 중요한 일을 결정하기 전에 가족끼리 먼저 의견을 나누는 습관이 있었다.,1
